ai_calls_acceptance_probability,ai_calls_best_offer_probability,ai_calls_count_repeated,ai_calls_offers,ai_calls_pauses,ai_nb_calls,ai_offer,completion_code,feedback_accuracy,feedback_alternative,feedback_explanation,feedback_understanding,job_id,min_offer,min_offer_dss,min_offer_final,model_type,offer,offer_dss,offer_final,prop_time_spent,prop_time_spent_dss,prop_worker_id,resp_rowid,resp_time_spent,resp_worker_id,timestamp,worker_id
0.0628:0.083:1.0:0.706:0.1363:0.716,0.001:0.0007:0.0501:0.8212:0.0336:0.2681,7,5:25:100:50:40:55,21:7:4:7:13:2,6,50,prop:oKZGj,ai_equal_to_proposer,2,5,6,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,40,40,40,real,30,50,50,10,51,AUUJ4#####93T,67,10,A35K3#####LVPE,2019-12-20 04:05:28.861405,AUUJ4#####93T
0.706,0.8212,1,50,45,1,50,prop:H8rdf,ai_equal_to_proposer,3,4,6,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,40,40,40,real,50,50,50,12,42,A1GQR#####T2RC,68,21,A2V4D#####VABF,2019-12-20 04:05:59.633779,A1GQR#####T2RC
0.1007,0.0192,1,35,26,1,50,prop:VQHuu,ai_worse,1,4,3,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,15,20,20,real,40,40,40,13,28,A53S7#####G38,69,8,A2E2S#####PIK5,2019-12-20 04:07:32.884409,A53S7#####G38
0.7877,0.3978,1,60,39,1,50,prop:DwtCF,ai_equal_to_proposer,4,4,4,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,30,30,30,real,40,40,40,31,21,A2FMS#####2OL7,70,10,A1RH3#####J05R,2019-12-20 04:08:00.743700,A2FMS#####2OL7
1.0,0.0501,1,100,83,1,50,prop:cY39D,ai_equal_to_proposer,6,7,4,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,40,50,50,real,100,100,100,42,65,ACID7#####8QC,71,11,A2UET#####1OCW,2019-12-20 04:09:25.327436,ACID7#####8QC
0.1363:0.7877:0.706,0.0336:0.3978:0.8212,3,40:60:50,55:21:7,3,50,prop:mDXdK,ai_equal_to_proposer,3,3,6,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,30,30,30,real,50,50,50,17,75,A1CY1#####2TUI,72,48,AT5P2#####FYP,2019-12-20 04:09:44.762299,A1CY1#####2TUI
0.706:0.1538:0.716,0.8212:0.0767:0.2681,4,50:45:55,28:10:5,3,50,prop:w6wNM,ai_equal_to_proposer,2,2,6,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,50,50,50,real,50,50,50,10,47,A2KRM#####5ZQJ,73,12,A2CTA#####XUCT,2019-12-20 04:09:52.213702,A2KRM#####5ZQJ
0.1363:0.706,0.0336:0.8212,2,40:50,45:29,2,50,prop:aOyx6,ai_better,5,6,5,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,10,15,15,real,40,50,50,20,67,A30MT#####T3F,74,14,A2OV5#####5O4C,2019-12-20 04:11:31.582713,A30MT#####T3F
0.706,0.8212,1,50,55,1,50,prop:vp9Se,ai_equal_to_proposer,1,1,7,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,50,25,25,real,50,50,50,12,50,A2KFO#####N0GK,75,8,A2X35#####IE4K,2019-12-20 04:12:27.152584,A2KFO#####N0GK
0.8876:0.9164:0.083:0.0782:1.0:0.0628,0.13:0.0548:0.0007:0.0007:0.0501:0.001,6,65:70:25:20:100:5,31:4:6:2:14:5,6,50,prop:s0g8w,ai_better,5,6,7,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,10,15,15,real,20,60,60,22,50,A1GEI#####YWCA,77,15,A14LG#####6LV3,2019-12-20 04:13:10.029945,A1GEI#####YWCA
